,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Input2FT_scaffold_27014_6,0,0,23,0,0,0,0,139,0,153,99,49,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_28279_1,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_3105_2,0,0,0,0,0,0,0,328,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_34251_2,0,0,120,0,0,0,0,289,0,1435,924,680,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_3504_7,2,0,0,0,9,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_44761_2,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_4895_5,0,0,0,0,0,0,0,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_497_44,0,0,0,0,0,0,0,277,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_49933_1,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_54290_1,0,0,59,0,0,0,0,191,2,460,252,247,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_54649_2,0,0,30,0,0,0,0,86,2,323,211,140,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_58219_2,0,0,1,0,0,0,0,90,4,31,42,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_59870_2,36,0,1,0,0,0,0,116,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_64525_1,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_66426_1,0,0,11,0,0,0,0,155,1,84,49,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_67125_2,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_70265_1,0,0,0,0,1,0,0,51,4,16,4,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
U3_Input2FT_scaffold_7367_8,0,0,0,0,0,0,0,240,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_76697_2,16,0,4,0,144,0,0,250,0,4,0,0,1,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0
U3_Input2FT_scaffold_8082_3,0,0,0,0,0,0,0,965,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_9498_4,2,0,0,0,37,0,0,260,1,7,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_133_7,0,0,0,0,0,0,0,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_1353_9,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_1392_1,0,0,32,0,0,0,0,18,21,378,192,273,197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_1734_8,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_1799_5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
U3_Input2RT_scaffold_292_30,2,0,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_30389_3,0,0,0,0,0,0,1,0,269,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_304_11,2,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_3191_7,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_32196_3,0,0,3,0,0,0,0,562,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_33432_2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_3877_7,8,0,0,0,0,0,0,133,195,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_39575_2,0,0,21,0,0,0,0,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
