,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Input2FT_scaffold_1339_22,1.215585638,0,0,0.100923138,0,0,0,5.144244382,0.027426929,0.192928512,0,0,0.070790265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_140_42,0,0,0,0,0,0,0,14.03882789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_1885_7,0,0,0.719659,0,0,0,0,6.85459064,0,0.058439986,0.206154747,0,0.128658497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_190_32,0,0,1.367972495,0,0,0,0,4.064916502,0,0.031738958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_21624_7,0,0,0,0,0,0,0,9.760613875,0.032585042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_21626_3,0,0,0,0,0,0,0,6.684167223,0.016292521,0,0,0,0,0.030642339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_2309_6,0,0,0,0,0,0,0,2.423884207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_27014_6,0,0,1.952782566,0,0,0,0,1.653052716,0,4.219498289,2.40784112,1.81563905,4.250067201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_28279_1,0,0,0,0,0,0,0,1.404039049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_3105_2,0,0,0,0,0,0,0,4.866797038,0.009783126,0.103225769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_34251_2,0,0,10.2653246,0,0,0,0,3.462861592,0,39.87371247,22.64279272,25.38678675,61.29582094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_3504_7,0.147872038,0,0,0,0.241130719,0,0,4.895763253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_44761_2,0,0,0,0,0,0,0,0.980027257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_4895_5,0,0,0,0,0,0,0,1.128656983,0.009922223,0.034897811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_497_44,0,0,0,0,0,0,0,4.072013251,0.019385083,0,0.030064234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_49933_1,0,0,0,0,0,0,0,0.828946948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_54290_1,0,0,5.066235799,0,0,0,0,2.297272983,0.015860522,12.83023321,6.198698421,9.25630641,14.98286677,0.029829853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_54649_2,0,0,2.635960289,0,0,0,0,1.058429437,0.016229372,9.218567967,5.310881888,5.368500846,12.69231032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_58219_2,0,0,0.092527586,0,0,0,0,1.166432441,0.034181044,0.931700343,1.113235635,1.494102305,1.786515128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_59870_2,2.287965297,0,0.077634447,0,0,0,0,1.261415904,0.114717203,0.025217254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_64525_1,0,0,0,0,0,0,0,4.560000507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
